country,year,population,gdp,electricity_demand,electricity_generation,electricity_share_energy,carbon_intensity_elec,greenhouse_gas_emissions,net_elec_imports,primary_energy_consumption,biofuel_consumption,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,coal_consumption,coal_electricity,coal_share_elec,coal_share_energy,fossil_electricity,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_consumption,gas_electricity,gas_share_elec,gas_share_energy,hydro_consumption,hydro_electricity,hydro_share_elec,hydro_share_energy,nuclear_consumption,nuclear_electricity,nuclear_share_elec,nuclear_share_energy,oil_consumption,oil_electricity,oil_share_elec,oil_share_energy,renewables_consumption,renewables_electricity,renewables_share_elec,renewables_share_energy,solar_consumption,solar_electricity,solar_share_elec,solar_share_energy,wind_consumption,wind_electricity,wind_share_elec,wind_share_energy,continent,status
United States,1998,275835008.0,11906028929024.0,,3855.808,16.454,,,,25512.498,31.054,,,0.122,6029.338,2029.041,52.623,23.633,2738.78,22302.24,71.03,87.417,6021.791,571.244,14.815,23.603,952.414,322.089,8.353,3.733,2012.252,709.16,18.392,7.887,10251.111,138.495,3.592,40.181,1198.005,391.287,10.148,4.696,1.551,0.525,0.014,0.006,9.037,3.056,0.079,0.035,North America,High-Income
United States,1999,279181568.0,12463818932224.0,,3936.098,16.547,,,,25965.105,32.287,,,0.124,6020.095,2037.863,51.774,23.185,2763.086,22599.816,70.199,87.039,6042.628,598.275,15.2,23.272,936.198,316.605,8.044,3.606,2175.191,766.583,19.476,8.377,10537.092,126.947,3.225,40.582,1190.098,388.135,9.861,4.583,1.533,0.518,0.013,0.006,13.405,4.533,0.115,0.052,North America,High-Income
United States,2000,282398560.0,12973842104320.0,3835.86,3802.1,15.604,532.606,2025.02,33.76,26545.426,37.003,60.73,1.597,0.139,6286.536,1966.27,51.715,23.682,2697.28,23224.576,70.942,87.49,6283.907,614.99,16.175,23.672,806.552,270.03,7.102,3.038,2251.771,753.89,19.828,8.483,10654.134,116.02,3.051,40.135,1069.079,350.93,9.23,4.027,1.533,0.49,0.013,0.006,16.706,5.59,0.147,0.063,North America,High-Income
United States,2001,285470496.0,13100471287808.0,3749.6,3727.57,15.64,535.381,1995.67,22.03,25912.779,39.312,49.75,1.335,0.152,6101.315,1903.96,51.078,23.546,2678.68,22744.744,71.861,87.774,6006.58,639.13,17.146,23.18,617.641,208.14,5.584,2.384,2281.463,768.83,20.626,8.804,10636.849,135.59,3.637,41.049,886.572,280.06,7.513,3.421,1.687,0.54,0.014,0.007,19.993,6.74,0.181,0.077,North America,High-Income
United States,2002,288350240.0,13334491430912.0,3865.21,3844.23,15.948,526.745,2024.93,20.98,26297.848,46.962,53.71,1.397,0.179,6098.454,1933.13,50.287,23.19,2727.83,22941.979,70.959,87.239,6201.112,691.01,17.975,23.58,753.548,255.59,6.649,2.865,2299.877,780.06,20.292,8.745,10642.413,103.69,2.697,40.469,1055.992,336.34,8.749,4.016,1.756,0.55,0.014,0.007,30.528,10.35,0.269,0.116,North America,High-Income
United States,2003,291109824.0,13708808945664.0,3875.36,3868.94,15.976,531.988,2058.23,6.42,26380.113,63.713,53.34,1.379,0.242,6214.537,1973.74,51.015,23.558,2756.03,23040.119,71.235,87.339,6021.9,649.91,16.798,22.827,782.949,267.27,6.908,2.968,2237.292,763.73,19.74,8.481,10803.683,132.38,3.422,40.954,1102.699,349.18,9.025,4.18,1.771,0.53,0.014,0.007,32.773,11.19,0.289,0.124,North America,High-Income
United States,2004,293947872.0,14227881328640.0,3963.26,3951.95,15.991,528.833,2089.92,11.31,26897.549,80.427,53.54,1.355,0.299,6254.982,1978.3,50.059,23.255,2818.28,23499.125,71.314,87.365,6046.277,710.1,17.968,22.479,756.591,259.93,6.577,2.813,2295.216,788.53,19.953,8.533,11197.866,129.88,3.286,41.632,1103.206,345.14,8.733,4.102,2.012,0.58,0.015,0.007,41.169,14.14,0.358,0.153,North America,High-Income
United States,2005,296842656.0,14703731408896.0,4059.77,4034.99,16.308,530.549,2140.76,24.78,26910.133,93.975,54.28,1.345,0.349,6346.957,2012.87,49.885,23.586,2899.96,23512.965,71.87,87.376,5951.93,760.96,18.859,22.118,762.893,263.76,6.537,2.835,2261.768,781.99,19.38,8.405,11214.078,126.13,3.126,41.672,1135.401,353.04,8.749,4.219,2.144,0.55,0.014,0.008,51.514,17.81,0.441,0.191,North America,High-Income
United States,2006,299753088.0,15095884152832.0,4065.36,4046.94,16.527,521.925,2112.2,18.42,26698.119,131.7,54.86,1.356,0.493,6249.683,1990.51,49.186,23.409,2878.56,23186.369,71.129,86.846,5865.778,816.44,20.174,21.971,812.488,282.69,6.985,3.043,2262.581,787.22,19.452,8.475,11070.909,71.61,1.769,41.467,1249.168,381.16,9.418,4.679,2.346,0.51,0.013,0.009,76.421,26.59,0.657,0.286,North America,High-Income
United States,2007,302743392.0,15364464312320.0,4173.82,4142.57,16.638,524.969,2174.72,31.25,27063.787,166.344,55.54,1.341,0.615,6333.85,2016.46,48.677,23.403,2988.24,23576.988,72.135,87.116,6241.383,896.59,21.643,23.062,687.236,240.61,5.808,2.539,2303.296,806.42,19.467,8.511,11001.755,75.19,1.815,40.651,1183.502,347.91,8.398,4.373,3.097,0.61,0.015,0.011,98.395,34.45,0.832,0.364,North America,High-Income
United States,2008,305694912.0,15319731011584.0,4140.35,4107.53,16.969,518.419,2129.42,32.82,26405.514,227.219,55.03,1.34,0.86,6233.055,1985.8,48.345,23.605,2924.21,22795.662,71.191,86.329,6288.912,882.98,21.497,23.817,705.476,248.54,6.051,2.672,2288.376,806.21,19.628,8.666,10273.694,55.43,1.349,38.907,1321.477,377.11,9.181,5.005,4.589,0.86,0.021,0.017,157.145,55.36,1.348,0.595,North America,High-Income
United States,2009,308512032.0,14894294368256.0,3973.87,3939.82,17.228,496.259,1955.17,34.05,25105.531,258.137,54.49,1.383,1.028,5482.376,1755.9,44.568,21.837,2725.41,21395.902,69.176,85.224,6176.281,920.98,23.376,24.601,758.314,268.82,6.823,3.021,2253.506,798.85,20.276,8.976,9737.244,48.53,1.232,38.785,1456.122,415.56,10.548,5.8,5.798,0.89,0.023,0.023,208.427,73.89,1.875,0.83,North America,High-Income
United States,2010,311182848.0,15270622003200.0,4139.92,4113.94,17.357,501.337,2062.47,25.98,25951.863,296.773,56.09,1.363,1.144,5800.542,1847.29,44.903,22.351,2882.49,22173.703,70.066,85.442,6481.935,987.7,24.009,24.977,714.086,254.7,6.191,2.752,2262.428,806.97,19.616,8.718,9891.228,47.5,1.155,38.114,1515.733,424.48,10.318,5.841,8.363,1.21,0.029,0.032,265.368,94.65,2.301,1.023,North America,High-Income
United States,2011,313876608.0,15509302018048.0,4126.12,4088.87,17.495,484.122,1979.51,37.25,25726.066,321.36,56.67,1.386,1.249,5473.071,1733.43,42.394,21.274,2788.93,21749.736,68.208,84.544,6582.108,1013.69,24.791,25.585,871.998,312.93,7.653,3.39,2201.92,790.2,19.326,8.559,9694.557,41.81,1.023,37.684,1774.409,509.74,12.467,6.897,13.073,1.82,0.045,0.051,334.874,120.18,2.939,1.302,North America,High-Income
United States,2012,316651328.0,15849635184640.0,4087.93,4040.67,17.741,470.467,1901.0,47.26,25047.863,321.98,57.62,1.426,1.285,4838.404,1514.04,37.47,19.317,2779.02,21192.219,68.776,84.607,6881.228,1225.89,30.339,27.472,751.373,271.29,6.714,3.0,2130.764,769.33,19.04,8.507,9472.587,39.09,0.967,37.818,1724.88,492.32,12.184,6.886,24.779,4.33,0.107,0.099,390.024,140.82,3.485,1.557,North America,High-Income
United States,2013,319375168.0,16108428984320.0,4113.49,4055.61,17.343,470.62,1908.65,57.88,25727.75,355.426,60.86,1.501,1.381,5022.271,1581.11,38.986,19.521,2746.21,21720.053,67.714,84.423,7070.228,1124.84,27.735,27.481,726.46,263.88,6.507,2.824,2172.121,789.02,19.455,8.443,9627.553,40.26,0.993,37.421,1835.576,520.38,12.831,7.135,43.715,9.04,0.223,0.17,462.054,167.84,4.138,1.796,North America,High-Income
United States,2014,322033952.0,16482662612992.0,4149.22,4096.01,17.333,467.311,1914.11,53.21,25996.219,360.515,63.99,1.562,1.387,5010.856,1581.71,38.616,19.275,2752.01,21926.727,67.188,84.346,7222.604,1126.61,27.505,27.783,692.853,253.19,6.181,2.665,2181.415,797.17,19.462,8.391,9693.266,43.69,1.067,37.287,1888.077,546.83,13.35,7.263,79.149,28.92,0.706,0.304,497.093,181.65,4.435,1.912,North America,High-Income
United States,2015,324607776.0,16902578503680.0,4150.66,4083.99,17.463,447.663,1828.25,66.67,25747.033,377.211,63.63,1.558,1.465,4329.078,1352.4,33.115,16.814,2730.32,21655.59,66.854,84.109,7435.795,1333.48,32.651,28.88,663.691,243.99,5.974,2.578,2168.462,797.18,19.52,8.422,9890.718,44.44,1.088,38.415,1922.98,556.49,13.626,7.469,106.174,39.03,0.956,0.412,518.788,190.72,4.67,2.015,North America,High-Income
United States,2016,327210208.0,17162557194240.0,4154.06,4087.56,17.579,429.437,1755.35,66.5,25723.152,409.229,62.76,1.535,1.591,3960.741,1239.15,30.315,15.398,2656.96,21413.307,65.001,83.245,7490.989,1378.31,33.72,29.122,706.105,261.13,6.388,2.745,2178.659,805.69,19.711,8.47,9961.576,39.5,0.966,38.726,2131.185,624.91,15.288,8.285,148.362,54.87,1.342,0.577,613.806,226.99,5.553,2.386,North America,High-Income
United States,2017,329791232.0,17596283879424.0,4108.62,4052.31,17.442,416.784,1688.94,56.31,25819.029,410.054,62.73,1.548,1.588,3852.593,1205.84,29.757,14.922,2540.17,21310.291,62.684,82.537,7399.922,1296.44,31.993,28.661,789.888,293.84,7.251,3.059,2163.843,804.95,19.864,8.381,10057.775,37.89,0.935,38.955,2344.897,707.19,17.452,9.082,207.734,77.28,1.907,0.805,683.609,254.3,6.275,2.648,North America,High-Income
United States,2018,332140032.0,18140645818368.0,4246.01,4201.55,17.395,412.062,1731.3,44.46,26764.953,404.621,61.83,1.472,1.512,3689.458,1149.49,27.359,13.785,2661.3,22208.822,63.341,82.977,8219.633,1469.13,34.966,30.71,765.977,286.62,6.822,2.862,2156.894,807.08,19.209,8.059,10299.73,42.68,1.016,38.482,2399.24,733.17,17.45,8.964,249.513,93.36,2.222,0.932,728.691,272.67,6.49,2.723,North America,High-Income
United States,2019,334319680.0,,4197.42,4158.38,17.377,392.776,1633.31,39.04,26574.742,415.87,57.51,1.383,1.565,3150.46,964.96,23.205,11.855,2588.21,21944.391,62.241,82.576,8509.999,1585.81,38.135,32.023,752.485,282.61,6.796,2.832,2155.132,809.41,19.465,8.11,10283.932,37.44,0.9,38.698,2475.22,760.76,18.295,9.314,284.616,106.89,2.57,1.071,787.816,295.88,7.115,2.965,North America,High-Income
United States,2020,335942016.0,,4090.49,4043.18,18.456,369.392,1493.52,47.31,24603.098,378.321,54.7,1.353,1.538,2556.181,773.39,19.128,10.39,2431.9,19917.447,60.148,80.955,8328.868,1624.17,40.171,33.853,742.663,279.95,6.924,3.019,2095.404,789.88,19.536,8.517,9032.397,34.34,0.849,36.712,2590.245,821.4,20.316,10.528,346.779,130.72,3.233,1.409,896.488,337.94,8.358,3.644,North America,High-Income
United States,2021,336997632.0,,4192.93,4153.62,17.892,379.26,1575.3,39.31,25945.025,415.839,54.25,1.306,1.603,2936.894,898.0,21.62,11.32,2512.39,21158.328,60.487,81.551,8358.034,1579.19,38.02,32.214,651.455,246.47,5.934,2.511,2060.685,779.65,18.77,7.943,9863.398,35.2,0.847,38.017,2726.014,861.58,20.743,10.507,434.585,164.42,3.958,1.675,999.615,378.2,9.105,3.853,North America,High-Income
United States,2022,338289856.0,,4328.12,4286.91,18.044,368.102,1578.02,41.21,26641.771,433.866,51.85,1.209,1.629,2741.221,831.51,19.396,10.289,2557.22,21595.023,59.652,81.057,8812.123,1687.07,39.354,33.076,674.078,248.76,5.803,2.53,2031.819,771.54,17.998,7.626,10041.679,38.64,0.901,37.691,3014.93,958.15,22.351,11.317,537.517,205.08,4.784,2.018,1145.063,434.3,10.131,4.298,North America,High-Income
